,kl,time_by_lasttime,time_diff,node_id,thread_id,job_id,class
29474,TASK:ANALYZ:ANA_WTFRAM,0.06641303406160544,14270.0,0,0,1,0
29478,TASK:ANALYZ:ANA_WTFRAM,0.06676786165226159,13180.0,0,0,1,0
29482,TASK:ANALYZ:ANA_WTFRAM,0.06715015382006463,36650.0,0,0,1,0
29486,TASK:ANALYZ:ANA_WTFRAM,0.06798386041359072,30980.0,0,0,1,0
29490,TASK:ANALYZ:ANA_WTFRAM,0.06871692499958526,23420.0,0,0,1,0
29494,TASK:ANALYZ:ANA_WTFRAM,0.06930916450544407,23550.0,0,0,1,0
29498,TASK:ANALYZ:ANA_WTFRAM,0.06990398457559856,24710.0,0,0,1,0
29502,TASK:ANALYZ:ANA_WTFRAM,0.07052737517902664,26210.0,0,0,1,0
29506,TASK:ANALYZ:ANA_WTFRAM,0.07118357581421411,24300.0,0,0,1,0
29510,TASK:ANALYZ:ANA_WTFRAM,0.07180678209162109,35090.0,0,0,1,0
29514,TASK:ANALYZ:ANA_WTFRAM,0.07263753946880927,26320.0,0,0,1,0
29518,TASK:ANALYZ:ANA_WTFRAM,0.07327973132639161,21720.0,0,0,1,0
29522,TASK:ANALYZ:ANA_WTFRAM,0.07381224920140751,29420.0,0,0,1,0
29526,TASK:ANALYZ:ANA_WTFRAM,0.0744870667647281,19730.0,0,0,1,0
29530,TASK:ANALYZ:ANA_WTFRAM,0.07498327241358335,19450.0,0,0,1,0
29534,TASK:ANALYZ:ANA_WTFRAM,0.07547413260782611,19500.0,0,0,1,0
29538,TASK:ANALYZ:ANA_WTFRAM,0.07596665173625895,19470.0,0,0,1,0
29542,TASK:ANALYZ:ANA_WTFRAM,0.07645806490856508,19430.0,0,0,1,0
29546,TASK:ANALYZ:ANA_WTFRAM,0.07694910942882896,15090.0,0,0,1,0
29550,TASK:ANALYZ:ANA_WTFRAM,0.07731886742719583,13440.0,0,0,1,0
29554,TASK:ANALYZ:ANA_WTFRAM,0.0776582116320779,13460.0,0,0,1,0
29558,TASK:ANALYZ:ANA_WTFRAM,0.07799792448900218,13410.0,0,0,1,0
29562,TASK:ANALYZ:ANA_WTFRAM,0.07833653138979976,22280.0,0,0,1,0
29566,TASK:ANALYZ:ANA_WTFRAM,0.07883881979735197,13440.0,0,0,1,0
29570,TASK:ANALYZ:ANA_WTFRAM,0.07917834832825515,13670.0,0,0,1,0
29574,TASK:ANALYZ:ANA_WTFRAM,0.0795221163576441,13510.0,0,0,1,0
29578,TASK:ANALYZ:ANA_WTFRAM,0.079862750844674,13450.0,0,0,1,0
29582,TASK:ANALYZ:ANA_WTFRAM,0.08020209504955605,13450.0,0,0,1,0
29586,TASK:ANALYZ:ANA_WTFRAM,0.08054162358045923,13520.0,0,0,1,0
29590,TASK:ANALYZ:ANA_WTFRAM,0.08088244239351025,22350.0,0,0,1,0
29594,TASK:ANALYZ:ANA_WTFRAM,0.08138638973525253,13460.0,0,0,1,0
29598,TASK:ANALYZ:ANA_WTFRAM,0.08173550321925396,13990.0,0,0,1,0
29602,TASK:ANALYZ:ANA_WTFRAM,0.08208867187572003,13900.0,0,0,1,0
29606,TASK:ANALYZ:ANA_WTFRAM,0.08243999727197489,13920.0,0,0,1,0
29610,TASK:ANALYZ:ANA_WTFRAM,0.08279187564629312,13930.0,0,0,1,0
29614,TASK:ANALYZ:ANA_WTFRAM,0.08314375402061133,23290.0,0,0,1,0
29618,TASK:ANALYZ:ANA_WTFRAM,0.0836687145287613,13990.0,0,0,1,0
29622,TASK:ANALYZ:ANA_WTFRAM,0.08402464807554418,13420.0,0,0,1,0
29626,TASK:ANALYZ:ANA_WTFRAM,0.08436325497634176,13490.0,0,0,1,0
29630,TASK:ANALYZ:ANA_WTFRAM,0.08470352081132941,13450.0,0,0,1,0
29634,TASK:ANALYZ:ANA_WTFRAM,0.08504286501621147,13490.0,0,0,1,0
29638,TASK:ANALYZ:ANA_WTFRAM,0.08538313085119913,13410.0,0,0,1,0
29642,TASK:ANALYZ:ANA_WTFRAM,0.08572173775199671,21290.0,0,0,1,0
29646,TASK:ANALYZ:ANA_WTFRAM,0.08620596220947915,13770.0,0,0,1,0
