time_by_lasttime,time_diff,node,class
0.92877,10.00000,100,1
0.92899,10.00000,106,1
0.92879,10.00000,100,1
0.92876,10.00000,102,1
0.92884,10.00000,103,1
0.92895,10.00000,109,1
0.92896,10.00000,104,1
0.92908,10.00000,107,1
0.92907,10.00000,106,1
0.92905,10.00000,102,1
0.92905,10.00000,109,0
0.92905,10.00000,108,0
0.92903,10.00000,109,0
0.92902,10.00000,107,0
0.92901,10.00000,106,0
0.92900,10.00000,112,0
0.92910,10.00000,105,0
0.92911,10.00000,109,0
0.92899,10.00000,107,0
0.92912,10.00000,104,0
0.92878,10.00000,103,0
0.92877,10.00000,102,0
0.92843,10.00000,114,0
0.92817,10.00000,110,0
0.92824,10.00000,116,0
0.92813,10.00000,113,0
0.92826,10.00000,113,0
0.92843,10.00000,115,0
0.92845,10.00000,113,0
0.92816,10.00000,116,0
0.92847,10.00000,114,0
0.92849,10.00000,115,0
0.92849,10.00000,114,0
0.92850,10.00000,116,0
0.92815,10.00000,114,0
0.92457,10.00000,110,0
0.92460,10.00000,116,0
0.92459,10.00000,112,0
0.92461,10.00000,112,0
0.92527,10.00000,100,0
0.92528,10.00000,109,0
0.92540,10.00000,103,0
0.92545,10.00000,113,0
0.92537,10.00000,104,0
0.92536,10.00000,115,0
0.92529,10.00000,100,0
0.92465,10.00000,113,0
0.92522,10.00000,107,0
0.92540,10.00000,102,0
0.92521,10.00000,105,0
0.92507,10.00000,112,0
0.92475,10.00000,116,0
0.92547,10.00000,110,0
0.92468,10.00000,116,0
0.92468,10.00000,113,0
0.92540,10.00000,113,0
0.91553,10.00000,107,0
0.91574,10.00000,111,0
0.91552,10.00000,104,0
0.92599,10.00000,107,0
0.92292,10.00000,0,0
0.92646,10.00000,10,0
0.92593,10.00000,107,0
0.92627,10.00000,0,0
0.91579,10.00000,111,0
0.92241,10.00000,101,0
0.92242,10.00000,109,0
0.92156,10.00000,106,0
0.92236,10.00000,109,0
0.92234,10.00000,107,0
0.92233,10.00000,105,0
0.92230,10.00000,107,0
0.92228,10.00000,110,0
0.92226,10.00000,110,0
0.92225,10.00000,100,0
0.92195,10.00000,112,0
0.92188,10.00000,114,0
0.92161,10.00000,107,0
0.92160,10.00000,106,0
0.92160,10.00000,112,0
0.92145,10.00000,110,0
0.92150,10.00000,112,0
0.92160,10.00000,113,0
0.92156,10.00000,111,0
0.92201,10.00000,112,0
0.92156,10.00000,110,0
0.92156,10.00000,113,0
0.91504,10.00000,108,0
0.91484,10.00000,101,0
0.91482,10.00000,114,0
0.91505,10.00000,108,0
0.91504,10.00000,110,0
0.91504,10.00000,107,0
0.91503,10.00000,106,0
0.91502,10.00000,108,0
0.91483,10.00000,103,0
0.91500,10.00000,112,0
0.91496,10.00000,115,0
0.91495,10.00000,105,0
0.91491,10.00000,101,0
0.91489,10.00000,102,0
0.91488,10.00000,103,0
0.91484,10.00000,102,0
0.91501,10.00000,104,0
0.91647,10.00000,0,0
0.92003,10.00000,10,0
0.92094,10.00000,116,0
0.92097,10.00000,116,0
0.92102,10.00000,116,0
0.92098,10.00000,115,0
0.92164,10.00000,114,0
0.92166,10.00000,111,0
0.92166,10.00000,104,0
0.92165,10.00000,103,0
0.92165,10.00000,106,0
0.92164,10.00000,110,0
0.91476,10.00000,113,0
0.91932,10.00000,100,0
0.91813,10.00000,110,0
0.91818,10.00000,110,0
0.91868,10.00000,114,0
