time_by_lasttime,time_diff,node,class
0.92798,3060.00000,101,1
0.92807,10.00000,114,1
0.92861,10.00000,112,1
0.92807,10.00000,115,1
0.92827,10.00000,111,1
0.92827,10.00000,103,1
0.92825,10.00000,110,1
0.92863,10.00000,102,1
0.92872,10.00000,100,1
0.92699,10.00000,115,1
0.92727,10.00000,112,0
0.92888,10.00000,111,0
0.92729,10.00000,113,0
0.92730,10.00000,116,0
0.92866,10.00000,109,0
0.92784,10.00000,112,0
0.92798,10.00000,102,0
0.92797,10.00000,109,0
0.92793,10.00000,112,0
0.92796,10.00000,110,0
0.92810,10.00000,115,0
0.92810,10.00000,114,0
0.92801,10.00000,104,0
0.92791,10.00000,104,0
0.92792,10.00000,110,0
0.92793,10.00000,110,0
0.92756,10.00000,107,0
0.92510,10.00000,105,0
0.92559,10.00000,10,0
0.92515,10.00000,107,0
0.92517,10.00000,101,0
0.92511,10.00000,103,0
0.92439,10.00000,106,0
0.92440,10.00000,107,0
0.92447,10.00000,110,0
0.92449,10.00000,102,0
0.92452,10.00000,108,0
0.92455,10.00000,108,0
0.92455,10.00000,102,0
0.92497,10.00000,104,0
0.92501,10.00000,104,0
0.92442,10.00000,106,0
0.92449,10.00000,113,0
0.92378,10.00000,115,0
0.92253,10.00000,0,0
0.92153,10.00000,105,0
0.92154,10.00000,104,0
0.92155,10.00000,109,0
0.92155,10.00000,108,0
0.92195,10.00000,10,0
0.92259,10.00000,0,0
0.92152,10.00000,107,0
0.92149,10.00000,103,0
0.92130,10.00000,108,0
0.92130,10.00000,107,0
0.92029,10.00000,110,0
0.92049,10.00000,114,0
0.92053,10.00000,114,0
0.92054,10.00000,113,0
0.92054,10.00000,115,0
0.92065,10.00000,115,0
0.92079,10.00000,116,0
0.92124,10.00000,111,0
0.92122,10.00000,110,0
0.92062,10.00000,116,0
0.92119,10.00000,112,0
0.92119,10.00000,110,0
0.92118,10.00000,109,0
0.92119,10.00000,101,0
0.92114,10.00000,102,0
0.92085,10.00000,112,0
0.92113,10.00000,108,0
0.91888,10.00000,107,0
0.91888,10.00000,109,0
0.91886,10.00000,104,0
0.91884,10.00000,100,0
0.91889,10.00000,102,0
0.91884,10.00000,109,0
0.91893,10.00000,0,0
0.91883,10.00000,107,0
0.91883,10.00000,111,0
0.91881,10.00000,10,0
0.91878,10.00000,102,0
0.91876,10.00000,10,0
0.91889,10.00000,101,0
0.91874,10.00000,104,0
0.91870,10.00000,111,0
0.91868,10.00000,110,0
0.91852,10.00000,107,0
0.91827,10.00000,116,0
0.91831,10.00000,112,0
0.91823,10.00000,112,0
0.91776,10.00000,114,0
0.91772,10.00000,113,0
0.91770,10.00000,110,0
0.91738,10.00000,116,0
0.91750,10.00000,116,0
0.91794,10.00000,107,0
0.91799,10.00000,109,0
0.91791,10.00000,112,0
0.91351,10.00000,115,0
0.91344,10.00000,113,0
0.91337,10.00000,112,0
0.91355,10.00000,114,0
0.91376,10.00000,110,0
0.91402,10.00000,104,0
0.91403,10.00000,107,0
0.91411,10.00000,107,0
0.91412,10.00000,113,0
0.91400,10.00000,102,0
0.91416,10.00000,115,0
0.91468,10.00000,102,0
0.91173,10.00000,10,0
0.91487,10.00000,104,0
0.91471,10.00000,102,0
0.91475,10.00000,108,0
0.91471,10.00000,103,0
0.91634,10.00000,10,0
0.91612,10.00000,0,0
0.91615,10.00000,0,0
0.91150,10.00000,102,0
0.91149,10.00000,110,0
0.91148,10.00000,0,0
0.91151,10.00000,105,0
0.91152,10.00000,111,0
0.91152,10.00000,107,0
0.91156,10.00000,100,0
0.91165,10.00000,10,0
0.91145,10.00000,111,0
0.91028,10.00000,114,0
0.91145,10.00000,103,0
0.91023,10.00000,116,0
0.90947,10.00000,105,0
0.90946,10.00000,103,0
0.91014,10.00000,116,0
0.90946,10.00000,110,0
0.91011,10.00000,113,0
0.90946,10.00000,102,0
0.90967,10.00000,110,0
0.90954,10.00000,101,0
0.90953,10.00000,110,0
0.90908,10.00000,0,0
0.91027,10.00000,110,0
0.91079,10.00000,112,0
0.91079,10.00000,107,0
0.91082,10.00000,101,0
0.91088,10.00000,113,0
0.91101,10.00000,112,0
0.91082,10.00000,109,0
0.91078,10.00000,105,0
0.91088,10.00000,109,0
0.91077,10.00000,101,0
0.91077,10.00000,102,0
0.90903,10.00000,0,0
0.90889,10.00000,112,0
0.90889,10.00000,113,0
0.90890,10.00000,101,0
0.90888,10.00000,109,0
0.90870,10.00000,103,0
0.90874,10.00000,110,0
0.90873,10.00000,106,0
0.90876,10.00000,104,0
0.90879,10.00000,112,0
0.90883,10.00000,112,0
0.90886,10.00000,105,0
0.90876,10.00000,100,0
0.90871,10.00000,108,0
0.90881,10.00000,107,0
0.90826,10.00000,116,0
0.90824,10.00000,115,0
0.90824,10.00000,0,0
0.90815,10.00000,114,0
0.90832,10.00000,116,0
0.90842,10.00000,10,0
0.90836,10.00000,10,0
0.90829,10.00000,114,0
0.90826,10.00000,110,0
0.90699,10.00000,112,0
0.90686,10.00000,112,0
0.90688,10.00000,112,0
0.90704,10.00000,114,0
0.90690,10.00000,114,0
0.90692,10.00000,115,0
0.90693,10.00000,113,0
0.90709,10.00000,113,0
0.90694,10.00000,112,0
0.90698,10.00000,115,0
0.90697,10.00000,113,0
0.90704,10.00000,115,0
0.90810,10.00000,114,0
0.90756,10.00000,111,0
0.90769,10.00000,110,0
